Synset #1,Synset #2,Path
41130: [Abgas],41130: [Abgas],1.0
41130: [Abgas],"19085: [Abtransport, Abholung, Abfuhr]",0.6
41130: [Abgas],"30089: [Abfrage, Anfrage, Anfragen]",0.7142857142857143
41130: [Abgas],"22808: [Empfang, Rezeption, Empfangsschalter, Anmeldung, Empfangsbereich]",0.6571428571428571
41130: [Abgas],106432: [Anmeldung],0.5714285714285714
41130: [Abgas],"18696: [Anmeldung, Eintragung]",0.6857142857142857
41130: [Abgas],"14820: [Miete, Anmietung]",0.6571428571428571
41130: [Abgas],"12971: [Applikation, Anwendung, Anwendungssoftware, Anwendungsprogramm, Anwenderprogramm]",0.7142857142857143
41130: [Abgas],27145: [Audi],0.7142857142857143
41130: [Abgas],60504: [aufladen],-1.0
41130: [Abgas],"60497: [aufladen, laden]",-1.0
41130: [Abgas],9724: [Ausleihe],0.6571428571428571
41130: [Abgas],"15420: [Ausleihe, Ausleihen]",0.6285714285714286
41130: [Abgas],10760: [Ausweis],0.7428571428571429
41130: [Abgas],106953: [Ausweis],0.7142857142857143
41130: [Abgas],"8813: [Motorfahrzeug, Automobil, Auto, Kraftfahrzeug, Wagen, Kraftwagen, Motorwagen, Kfz]",0.7142857142857143
41130: [Abgas],"37658: [Autobesitzer, Autobesitzerin, Kfz-Halter, Kfz-Halterin]",0.6
41130: [Abgas],"19093: [Autofahrt, Autofahren]",0.6285714285714286
41130: [Abgas],"25613: [Autohaus, Autoverkaufshaus, Automobilhändler, Autohändler]",0.6285714285714286
41130: [Abgas],15364: [Autokauf],0.6285714285714286
41130: [Abgas],61507: [Automodell],0.7714285714285715
41130: [Abgas],"22774: [Autoverleih, Autovermieter, Automobilvermieter, Autovermietung, Automobilvermietung]",0.6285714285714286
41130: [Abgas],99968: [Bankverbindung],0.7142857142857143
41130: [Abgas],"10442: [Bargeld, Cash]",0.8
41130: [Abgas],"37443: [Beifahrer, Beifahrerin]",0.6857142857142857
41130: [Abgas],"12952: [User, Benutzer, Nutzer]",0.7428571428571429
41130: [Abgas],"37706: [Benutzer, Benutzerin, Nutzer, Nutzerin]",0.7142857142857143
41130: [Abgas],"14786: [Benutzerkonto, Nutzerkonto]",0.6857142857142857
41130: [Abgas],"55413: [bewerten, werten]",-1.0
41130: [Abgas],"30711: [Beurteilung, Gutachten, Bewertung, Wertung]",0.5714285714285714
41130: [Abgas],"27735: [Urteil, Beurteilung, Rating, Abschätzung, Bestimmung, Begutachtung, Evaluierung, Evaluation, Bewertung]",0.8
41130: [Abgas],78119: [Bezahlvorgang],0.6857142857142857
41130: [Abgas],31078: [Buchung],0.6285714285714286
41130: [Abgas],96929: [Buchung],0.6
41130: [Abgas],"8949: [Cabrio, Kabrio, Cabriolet, Kabriolett]",0.6571428571428571
41130: [Abgas],"8949: [Cabrio, Kabrio, Cabriolet, Kabriolett]",0.6571428571428571
41130: [Abgas],"17235: [Dienstfahrt, Dienstreise]",0.6285714285714286
41130: [Abgas],105739: [Dienstfahrt],0.6285714285714286
41130: [Abgas],69410: [Elektrofahrzeug],0.7714285714285715
41130: [Abgas],"19043: [Fahrt, Fahren]",0.6571428571428571
41130: [Abgas],53769: [fahren],-1.0
41130: [Abgas],97900: [fahren],-1.0
41130: [Abgas],57299: [fahren],-1.0
41130: [Abgas],57685: [fahren],-1.0
41130: [Abgas],57912: [fahren],-1.0
41130: [Abgas],57963: [fahren],-1.0
41130: [Abgas],57971: [fahren],-1.0
41130: [Abgas],97899: [fahren],-1.0
41130: [Abgas],13773: [Fahrerlaubnis],0.6857142857142857
41130: [Abgas],33129: [Fahrleistung],0.7142857142857143
41130: [Abgas],"15315: [Fahrpreis, Beförderungsentgelt]",0.6857142857142857
41130: [Abgas],"15210: [Fahrtkosten, Reisekosten]",0.6
41130: [Abgas],"8702: [Fahrzeug, Gefährt, Vehikel]",0.8
41130: [Abgas],85454: [Fahrzeugflotte],0.7142857142857143
41130: [Abgas],27115: [Fahrzeugtyp],0.7428571428571429
41130: [Abgas],27170: [Fiat],0.7142857142857143
41130: [Abgas],62253: [Fiesta],0.6285714285714286
41130: [Abgas],"14012: [Wandlungsfähigkeit, Flexibilität]",0.7142857142857143
41130: [Abgas],14286: [Flexibilität],0.7142857142857143
41130: [Abgas],27165: [Ford],0.7142857142857143
41130: [Abgas],"10784: [Fahrausweis, Führerschein, Lappen]",0.7142857142857143
41130: [Abgas],30275: [Führerschein],0.6571428571428571
41130: [Abgas],34039: [Füllstand],0.7428571428571429
41130: [Abgas],43558: [Golf],0.6571428571428571
41130: [Abgas],"27130: [VW Golf, Golf]",0.6857142857142857
41130: [Abgas],"21627: [Golfsport, Golf, Golfspielen, Golfspiel]",0.6285714285714286
41130: [Abgas],"19742: [Haftpflicht, Haftung, Haftbarkeit]",0.6571428571428571
